local_time,flow_timestamp,src_ip,dst_ip,dst_port,protocol,prediction
16:52:13,2026-04-19 16:50:41,192.168.100.119,13.216.96.160,443,6,NORMAL
16:52:19,2026-04-19 16:48:02,192.168.100.119,192.168.1.134,7680,6,NORMAL
16:52:25,2026-04-19 16:48:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:25,2026-04-19 16:48:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:25,2026-04-19 16:48:23,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:26,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:28,2026-04-19 16:48:25,192.168.100.119,18.235.117.112,443,6,NORMAL
16:52:28,2026-04-19 16:50:54,52.168.112.66,192.168.100.119,51839,6,NORMAL
16:52:37,2026-04-19 16:48:35,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:37,2026-04-19 16:48:35,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:37,2026-04-19 16:48:35,192.168.100.119,192.168.100.1,53,17,NORMAL
16:52:55,2026-04-19 16:51:14,192.168.100.119,3.160.246.90,443,6,NORMAL
16:52:58,2026-04-19 16:48:43,192.168.100.119,192.168.1.4,7680,6,NORMAL
16:53:17,2026-04-19 16:49:14,192.168.100.119,20.189.172.33,443,6,NORMAL
16:53:17,2026-04-19 16:51:16,34.206.207.172,192.168.100.119,51942,6,NORMAL
16:53:26,2026-04-19 16:49:22,192.168.100.119,192.168.100.1,53,17,NORMAL
16:53:26,2026-04-19 16:49:22,192.168.100.119,192.168.100.1,53,17,NORMAL
